year,number
1858,1
1862,1
1863,3
1864,1
1865,6
1867,1
1868,1
1869,1
1870,1
1871,2
1872,3
1873,2
1875,3
1878,4
1879,3
1880,2
1881,4
1882,2
1883,3
1884,3
1885,5
1886,5
1887,1
1888,1
1889,4
1890,3
1891,3
1892,5
1893,2
1894,3
1895,3
1896,1
1897,2
1899,4
1900,2
1902,1
1903,1
1904,3
1905,1
1906,1
1907,5
1908,3
1910,4
1911,4
1912,4
1913,4
1914,2
1915,8
1916,4
1917,4
1918,3
1919,3
1920,5
1921,5
1924,4
1925,1
1926,2
1927,4
1928,3
1929,5
1930,5
1931,5
1932,3
1933,2
1934,3
1935,2
1936,3
1937,3
1938,4
1939,4
1940,1
1941,2
1942,1
1943,1
1945,5
1946,6
1947,1
1949,2
1950,2
1951,4
1952,4
1953,4
1954,2
1955,2
1956,8
1957,4
1958,3
1959,2
1960,2
1961,3
1963,1
1964,1
1965,2
1966,3
1967,2
1969,1
1970,1
1971,4
1972,2
1973,1
1974,5
1975,5
1976,2
1977,5
1978,7
1979,6
1980,4
1981,4
1982,3
1983,3
1984,5
1985,6
1986,13
1987,7
1988,4
1990,3
1991,4
1992,5
1993,3
1994,3
1995,3
1996,2
1997,12
1998,5
1999,5
2000,2
2001,2
2002,1
2003,3
2004,1
2005,2
2006,4
2007,5
2008,16
2009,9
2010,13
2011,16
2012,24
2013,18
2014,26
2015,17
2016,13
2017,10
2018,10
